ISO3,Year,SWIID_gini_disp
CPV,2007,49.6
CPV,2008,49.5
CPV,2009,49.3
CPV,2010,49.2
CPV,2011,49
CPV,2012,48.9
CPV,2013,48.7
CPV,2014,48.6
CPV,2015,48.4
CAF,1992,52.3
CAF,1993,52.3
CAF,1994,52.2
CAF,1995,52.2
CAF,1996,52.2
CAF,1997,52.1
CAF,1998,52.1
CAF,1999,52.1
CAF,2000,52
CAF,2001,52
CAF,2002,51.9
CAF,2003,51.9
CAF,2004,51.9
CAF,2005,51.8
CAF,2006,52
CAF,2007,52.1
CAF,2008,52.3
CAF,2009,52.1
CAF,2010,52
CAF,2011,51.8
CAF,2012,51.7
CAF,2013,51.5
CAF,2014,51.3
CAF,2015,51.2
CAF,2016,51
CAF,2017,50.9
CAF,2018,50.7
CAF,2019,50.6
CAF,2020,50.4
CAF,2021,50.3
TCD,2003,41.2
TCD,2004,41.3
TCD,2005,41.4
TCD,2006,41.5
TCD,2007,41.6
TCD,2008,41.7
TCD,2009,41.8
TCD,2010,41.8
TCD,2011,41.9
TCD,2012,41.7
TCD,2013,41.6
TCD,2014,41.5
TCD,2015,41.4
TCD,2016,41.2
TCD,2017,41.1
TCD,2018,40.9
TCD,2019,40.9
TCD,2020,40.8
TCD,2021,40.8
TCD,2022,40.7
CHL,1968,44.8
CHL,1969,45.1
CHL,1970,45.3
CHL,1971,45.5
CHL,1972,45.8
CHL,1973,46.1
CHL,1974,46.4
CHL,1975,46.7
CHL,1976,47
CHL,1977,47.3
CHL,1978,47.6
CHL,1979,47.9
CHL,1980,48.2
CHL,1981,48.6
CHL,1982,48.9
CHL,1983,49.2
CHL,1984,49.4
CHL,1985,49.7
CHL,1986,50.2
CHL,1987,50.7
CHL,1988,50.7
CHL,1989,50.6
CHL,1990,50.6
CHL,1991,50.5
CHL,1992,50.6
CHL,1993,50.7
CHL,1994,50.7
CHL,1995,50.7
CHL,1996,50.7
CHL,1997,50.8
CHL,1998,50.8
CHL,1999,50.8
CHL,2000,50.8
CHL,2001,50.5
CHL,2002,50.2
CHL,2003,49.9
CHL,2004,49.3
CHL,2005,48.6
CHL,2006,48
CHL,2007,47.8
CHL,2008,47.6
CHL,2009,47.4
CHL,2010,47
CHL,2011,46.7
CHL,2012,46.4
CHL,2013,46.1
CHL,2014,45.8
CHL,2015,45.5
CHL,2016,45.7
CHL,2017,45.9
CHL,2018,46.2
CHL,2019,46.5
CHL,2020,46.8
CHL,2021,45.2
CHL,2022,43.6
