sd_mult_shock,policy_component,ISO3,first_treat_year
1.5,heritage_Property.Rights,BRN,2017
1.5,heritage_Property.Rights,BWA,2022
1.5,heritage_Property.Rights,CAF,2020
1.5,heritage_Property.Rights,CHE,1997
1.5,heritage_Property.Rights,CHN,2017
1.5,heritage_Property.Rights,CIV,2017
1.5,heritage_Property.Rights,CMR,2017
1.5,heritage_Property.Rights,COD,2017
1.5,heritage_Property.Rights,COG,1999
1.5,heritage_Property.Rights,COL,2008
1.5,heritage_Property.Rights,CPV,2006
1.5,heritage_Property.Rights,CUB,2017
1.5,heritage_Property.Rights,CYP,1999
1.5,heritage_Property.Rights,CZE,2022
1.5,heritage_Property.Rights,DEU,2022
1.5,heritage_Property.Rights,DJI,2019
1.5,heritage_Property.Rights,DMA,2020
1.5,heritage_Property.Rights,DNK,2022
1.5,heritage_Property.Rights,DOM,2017
1.5,heritage_Property.Rights,DZA,2017
1.5,heritage_Property.Rights,ECU,2017
1.5,heritage_Property.Rights,EGY,1996
1.5,heritage_Property.Rights,ERI,2017
1.5,heritage_Property.Rights,ESP,2022
1.5,heritage_Property.Rights,EST,2007
1.5,heritage_Property.Rights,ETH,2022
1.5,heritage_Property.Rights,FJI,2017
1.5,heritage_Property.Rights,FRA,2010
1.5,heritage_Property.Rights,FSM,2020
1.5,heritage_Property.Rights,GEO,2001
1.5,heritage_Property.Rights,GHA,2022
1.5,heritage_Property.Rights,GIN,2018
1.5,heritage_Property.Rights,GMB,2017
1.5,heritage_Property.Rights,GNB,2007
1.5,heritage_Property.Rights,GNQ,2003
1.5,heritage_Property.Rights,GRC,2010
1.5,heritage_Property.Rights,GTM,2017
1.5,heritage_Property.Rights,GUY,2020
1.5,heritage_Property.Rights,HND,2002
1.5,heritage_Property.Rights,HRV,2010
1.5,heritage_Property.Rights,HTI,2018
1.5,heritage_Property.Rights,HUN,2017
1.5,heritage_Property.Rights,IDN,2017
1.5,heritage_Property.Rights,IRN,2017
1.5,heritage_Property.Rights,ISL,2022
1.5,heritage_Property.Rights,ITA,2017
1.5,heritage_Property.Rights,JAM,1996
1.5,heritage_Property.Rights,JPN,2010
1.5,heritage_Property.Rights,KAZ,2017
1.5,heritage_Property.Rights,KEN,2017
1.5,heritage_Property.Rights,KGZ,2017
1.5,heritage_Property.Rights,KHM,2017
1.5,heritage_Property.Rights,KIR,2017
1.5,heritage_Property.Rights,KOR,2022
1.5,heritage_Property.Rights,KWT,2017
1.5,heritage_Property.Rights,LAO,2017
1.5,heritage_Property.Rights,LBN,2017
1.5,heritage_Property.Rights,LBY,2020
1.5,heritage_Property.Rights,LKA,2001
1.5,heritage_Property.Rights,LSO,2017
1.5,heritage_Property.Rights,LTU,2022
1.5,heritage_Property.Rights,LUX,2022
