ISO3,Year,Heritage_Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,fraser_Score,Size_of_Government,Legal_System_and_Property,Sound_Money,Free_Trade,Regulation,Access to clean fuels and technologies for cooking (% of population),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),"Children in employment, work only (% of children in employment, ages 7-14)",Consumer price index (2010 = 100),Coverage of social insurance programs (% of population),Coverage of social insurance programs in poorest quintile (% of population),Coverage of social safety net programs (% of population),Coverage of social safety net programs in poorest quintile (% of population),Coverage of unemployment benefits and ALMP in poorest quintile (% of population),"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",Exports of goods and services (constant 2015 US$),GDP (constant 2015 US$),GDP growth (annual %),GDP per capita (constant 2015 US$),GDP per capita growth (annual %),GNI (constant 2015 US$),GNI growth (annual %),GNI per capita (constant 2015 US$),GNI per capita growth (annual %),Gini index,Income share held by highest 10%,Income share held by lowest 10%,Marine protected areas (% of territorial waters),Poverty gap at $3.65 a day (2017 PPP) (%),Poverty gap at $6.85 a day (2017 PPP) (%),Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),Poverty headcount ratio at societal poverty line (% of population),Proportion of people living below 50 percent of median income (%),Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%),Proportion of population pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of population pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),Prosperity gap (average shortfall from a prosperity standard of $25/day),"School enrollment, primary (% net)","Survey mean consumption or income per capita, total population (2017 PPP $ per day)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
OMN,1997,64.5,70.0,70.0,,75.0,46.3,,85.0,,81.7,73.0,50.0,30.0,,,,,,,,,,21.9893,10.03747626,,,,,,,,,,42629059778.0,6.033512507,19458.92664,4.397841804,,,,,,,,,,,,,,,,,,,,,,,79.0198,,4.188
PAK,1997,56.0,70.0,23.0,,67.5,71.2,,55.0,,68.0,30.0,70.0,50.0,,,,,,,,,,99.0877,0.695197122,,37.59909387,,,,,,,13758960922.0,146665000000.0,1.014396011,1028.998048,-1.802541127,141122000000.0,0.563040501,990.1118905,-2.241309915,,,,,,,,,,,,,,,,,,,,,0.631
PAN,1997,72.4,50.0,50.0,,80.8,87.1,,70.0,,88.8,65.0,70.0,90.0,,,,,,,,,,4.6365,1.634472511,,74.83144092,,,,,,,11558335813.0,17368081133.0,7.709040002,6122.646648,5.5649554,16691821731.0,6.235382829,5884.24971,4.120633236,58.1,44.1,0.3,,12.2,20.6,21.8,39.1,,33.4,26.8,0.79,1.62,11.24,23.83,9.25,1.84,9.7,,,6.406
PNG,1997,56.7,50.0,50.0,,81.5,74.2,,70.0,,67.9,36.6,50.0,30.0,,,,,,,,,,2.6653,0.534354956,,35.06188389,,,,,,,,11526936460.0,-3.904389656,2310.98774,-7.266697495,,-3.224610694,,-6.61070345,,,,,,,,,,,,,,,,,,,,,2.856
PRY,1997,67.3,50.0,10.0,,89.9,92.2,,70.0,,65.0,69.0,90.0,70.0,,,,,,,,,,4.2075,0.877584154,,36.43733632,,,,,,,7108435116.0,21555788372.0,4.242516103,4496.023365,1.918916576,19833558596.0,0.790639368,4136.807307,-1.456016705,54.9,41.4,0.7,,8.9,18.8,20.4,38.0,,34.1,27.7,1.72,1.66,14.01,20.62,12.78,4.34,5.7,,,5.36
PER,1997,63.8,50.0,30.0,,80.5,92.0,,55.0,,68.5,58.6,70.0,70.0,,,,,,,,,,28.369,1.122451333,,68.75362995,,,,,,,16300779810.0,84192012967.0,6.476824421,3331.151511,4.526364361,82070714845.0,6.785109771,3247.219969,4.82900249,53.3,40.8,1.0,,16.4,31.8,35.9,61.3,,37.0,25.4,,,,,,,8.7,84.03117,,4.768
PHL,1997,62.2,70.0,28.0,,73.1,87.9,,70.0,,78.1,53.2,50.0,50.0,,,,,,,,,,76.8446,1.039721787,,52.89966113,,,,,,,38209595756.0,133055000000.0,5.186411674,1800.259131,2.740559804,139042000000.0,6.713612846,1881.258548,2.901362239,,,,,,,,,,,,0.78,0.65,30.1,21.57,3.17,0.62,,,,3.598
POL,1997,56.8,70.0,70.0,,49.5,26.8,,70.0,,55.2,49.6,70.0,50.0,,,,,,,,,,362.6578,9.383208028,,57.86588895,,,,,,,60883936862.0,247015000000.0,6.35890635,6391.131728,6.289311515,246326000000.0,6.296382602,6373.304833,6.226828678,,,,,,,,,,,,,,,,,,,,,10.964
PRT,1997,63.6,70.0,56.0,,61.0,36.5,,70.0,,81.4,77.8,70.0,50.0,,,,,,,,,,53.7604,5.318085104,,72.73673109,,,,,,,37725346643.0,171308000000.0,4.400867193,16946.08683,3.935797399,163205000000.0,3.680367927,16144.55365,3.474617378,,,,,,,,,,,,,,,,,,,,,6.571
QAT,1997,,,,,,,,,,,,,,,,,,,,,,,27.8972,50.67611262,,56.93575683,,,,,,,,26889127081.0,30.01203983,48844.91749,24.93885431,,,,,,,,,,,,,,,,,,,,,,,,,0.87
ROU,1997,50.8,30.0,30.0,,44.3,65.5,,55.0,,39.1,73.0,70.0,50.0,,,,,,,,,,124.3646,5.514087138,,9.464965392,,,,,,,18150621127.0,102545000000.0,-4.849062738,4546.667531,-4.57473043,101861000000.0,-4.923979134,4516.323283,-4.649862819,,,,,,,,,,,,,,,,,,,89.62818,,5.515
RUS,1997,48.6,50.0,30.0,,77.7,58.5,,55.0,,0.0,46.0,50.0,70.0,,,,,,,,,,1604.8446,10.8497494,,10.73630232,,,,,,,157940000000.0,704127000000.0,1.399915805,4760.339355,1.56770415,,0.69882814,,,,,,,,,,,,,,0.26,0.9,2.35,14.48,3.61,0.73,,,,11.813
RWA,1997,38.3,10.0,10.0,,67.9,92.2,,40.0,,50.8,34.0,30.0,10.0,,,,,,,,,,0.4818,0.062125753,,43.37304161,,,,,,,122387287.5,2224242407.0,13.84975249,286.8051769,-1.512871572,2207106276.0,13.91304117,284.5955567,-1.458122915,,,,,,,,,,,,,,,,,,,,,11.217
WSM,1997,51.5,50.0,70.0,,64.5,25.0,,70.0,,83.6,0.0,50.0,50.0,,,,,,,,,,0.1387,0.781201597,,55.48285926,,,,,,,,487603825.8,0.643425004,2746.336608,-0.193253145,,,,,,,,,,,,,,,,,,,,,,,,,3.78
STP,1997,,,,,,,,,,,,,,,,,,,,,,,0.0549,0.395185788,,11.74084828,,,,,,,,130999443.0,0.996320931,942.9711853,-0.428599449,,,,,,,,,,,,,,,,,,,,,,,,,14.421
SAU,1997,68.7,90.0,70.0,,99.4,56.7,,85.0,,78.1,59.0,30.0,50.0,,,,,,,,,,233.214,16.22364694,,78.90491771,,,,,,,,330636000000.0,2.647323554,23000.84058,-1.23675232,,,,,,,,,,,,,,,,,,,,,,,,,5.327
SEN,1997,58.1,70.0,50.0,,61.0,86.8,,55.0,,62.1,37.8,50.0,50.0,,,,,,,,,,3.2685,0.352076454,,78.72639278,,,,,,,2210114744.0,8937561243.0,3.045601035,962.7366895,0.642689765,8844540967.0,2.918955237,952.7167265,0.51899721,,,,,,,,,,,,,,,,,,,53.91847,,2.776
SRB,1997,,,,,,,,,,,,,,,,,,,,,,,,,,6.227057301,,,,,,,3667251215.0,26576270133.0,8.933212618,3497.550467,9.272217789,26587038068.0,,3498.967574,,,,,,,,,,,,,,,,,,,,,,13.8
SYC,1997,,,,,,,,,,,,,,,,,,,,,,,0.3728,4.821583311,,40.60841606,,,,,,,495934535.4,872533006.1,12.19364175,11284.84598,10.88479574,854142463.5,13.27506779,11046.99315,11.7541811,,,,,,,,,,,,,,,,,,,,,
SLE,1997,45.0,30.0,10.0,,51.3,88.9,,70.0,,58.2,16.2,50.0,30.0,,,,,,,,,,0.622,0.146225089,,,,,,,,,88301866.31,2699719813.0,-5.877080789,634.6732628,-7.083147163,,,,,,,,,,,,,,,,,,,,,,,,,4.253
SGP,1997,87.3,90.0,93.0,,80.6,94.0,,100.0,,85.8,83.0,90.0,70.0,,,,,,,,,,42.1942,11.11532603,,84.26599729,,,,,,,167960000000.0,124644000000.0,8.316209111,32835.25185,4.739926747,,,,,,,,,,,,,,,,,,,,,,,,,2.5
SVK,1997,55.5,50.0,50.0,,66.4,22.0,,70.0,,68.1,73.0,50.0,50.0,,,,,,,,,,45.5563,8.462537136,,49.49385165,,,,,,,17862780305.0,46551440694.0,5.485840336,8647.394446,5.291261519,49926033027.0,4.783135044,9274.258632,6.338097516,,,,,,,,,,,,,,,,,,,,,11.894
SVN,1997,55.6,50.0,50.0,,51.4,36.2,,70.0,,64.0,59.0,50.0,70.0,,,,,,,,,,16.2302,8.172487205,,53.33931841,,,,,,,11617595198.0,28599099399.0,5.171340077,14400.67121,5.312842619,28965026736.0,,14584.92874,5.088525018,,,,,,,,,,,,,,,,,,,95.33336,,6.658
SLB,1997,,,,,,,,,,,,,,,,,,,,,,,0.1793,0.440028075,,34.05083416,,,,,,,274842466.0,890910669.2,-0.914077188,2186.423353,-3.702034469,872705229.3,-1.287837061,2141.744576,-4.065277949,,,,,,,,,,,,,,,,,,,,,2.022
ZAF,1997,63.2,50.0,56.0,,61.3,65.3,,85.0,,76.2,55.0,70.0,50.0,,,,,,,,,,351.2254,7.691038298,,50.58304647,,,,,,,60486457112.0,206736000000.0,2.600000001,4527.049924,1.378195856,190744000000.0,2.603720736,4176.855453,1.104519004,,,,,,,,,,,,,,,,,,,,,22.518
ESP,1997,59.6,70.0,44.0,,45.8,32.9,,70.0,,76.3,77.8,70.0,50.0,,,,,,,,,,267.1066,6.668098113,,70.4553723,,,,,,,199192000000.0,853640000000.0,3.587299762,21310.43119,3.154053715,826728000000.0,3.618665427,20638.59901,3.542515472,35.3,25.9,2.3,,0.8,1.9,1.5,4.5,,16.5,14.0,,,,,,,1.8,99.93531,,20.698
LKA,1997,65.5,50.0,50.0,,72.5,69.1,,85.0,,81.8,61.0,50.0,70.0,,,,,,,,,,8.786,0.481472145,,30.0082079,,,,,,,,32636435386.0,6.405399696,1788.474227,4.404302717,,6.657566039,,4.651726732,,,,,,,,,,,,,,,,,,,,,10.6
LCA,1997,,,,,,,,,,,,,,,,,,,,,,,0.0843,0.552536885,,70.43259394,,,,,,,,1336440816.0,-0.694130142,8759.58298,-2.082481776,,,,,,,,,,,,,,,,,,,,,,,,,20.47
VCT,1997,,,,,,,,,,,,,,,,,,,,,,,0.0594,0.525008618,,71.70162499,,,,,,,,529026032.5,3.505150873,4675.811885,3.485024541,,,,,,,,,,,,,,,,,,,,,,,,,20.116
SDN,1997,39.9,30.0,30.0,,32.8,86.5,,55.0,,27.4,37.0,30.0,30.0,,,,,,,,,,5.4783,0.212338683,,22.91556122,,,,,,,16452430158.0,32884421186.0,18.31265719,1050.319946,15.58996021,,,,,,,,,,,,,,,,,,,,,,,,,15.305
SUR,1997,35.9,50.0,10.0,,41.7,61.1,,55.0,,0.0,25.0,50.0,30.0,,,,,,,,,,1.2816,2.86028652,,7.683724708,,,,,,,,2836325577.0,5.699997683,6330.137182,3.520968925,,,,,,,,,,,,,,,,,,,,,,,,,10.56
SWE,1997,63.3,70.0,89.0,,39.5,0.0,,70.0,,84.8,77.0,70.0,70.0,,,,,,,,,,61.7946,6.98554905,,85.29260236,,,,,,,104067000000.0,324431000000.0,3.064871142,36675.20771,3.00587082,328347000000.0,3.161710966,37117.8426,2.768832144,,,,,,,,,,,,,,,,,,,99.82815,,10.359
CHE,1997,78.6,90.0,88.0,,77.7,54.4,,70.0,,86.7,80.6,70.0,90.0,,,,,,,,,,43.8849,6.190644932,,89.60267736,,,,,,,218793000000.0,486583000000.0,2.261325239,68640.07445,2.015283161,505427000000.0,3.936966661,71298.26275,2.82011813,,,,,,,,,,,,,,,,,,,,,4.127
SYR,1997,43.0,30.0,10.0,,38.6,75.3,,85.0,,64.9,43.0,30.0,10.0,,,,,,,,,,43.3333,2.810649065,,62.82434678,,,,,,,17479610196.0,20031990206.0,5.023804508,1299.298566,2.302845588,,,,,,,,,,,,,,,,,,,,,,,95.58284,,7.31
TWN,1997,70.0,90.0,51.0,,74.4,71.4,,85.0,,82.8,75.2,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJK,1997,,,,,,,,,,,,,,,,,,,,,,,2.9765,0.484785488,,,,,,,,,408092684.0,2281936479.0,1.680674136,371.6612431,0.466665814,2433368760.0,6.049151239,396.3251679,4.782985833,,,,,,,,,,,,,,,,,,,,,4.15
TZA,1997,59.3,50.0,30.0,,77.5,92.7,,55.0,,60.8,67.8,50.0,50.0,,,,,,,,,,3.2773,0.103783988,,40.11161325,,,,,,,1714068287.0,16263399690.0,3.525278189,529.9542236,1.459027936,16039378732.0,3.033939646,522.6543579,0.977495859,,,,,,,,,,,,,,,,,,,49.9158,,3.338
THA,1997,66.1,90.0,28.0,,74.2,91.3,,70.0,,75.3,66.4,50.0,50.0,,,,,,,,,,187.3882,3.085870461,,70.30351898,,,,,,,89682232210.0,219496000000.0,-2.753575153,3614.608485,-4.041960986,,,,,,,,,,,,,,,,,,,,,,,,,0.873
TLS,1997,,,,,,,,,,,,,,,,,,,,,,,0.002,0.002180588,,,,,,,,,,832726547.6,3.999994005,907.916566,1.176342643,,,,,,,,,,,,,,,,,,,,,,,,,3.433
TGO,1997,,,,,,,,,,,,,,,,,,,,,,,0.8492,0.179723727,,72.46452784,,,,,,,840362678.3,3516020423.0,14.37737757,744.1265819,10.81487772,3475980725.0,14.38722278,735.6526256,10.82441628,,,,,,,,,,,,,,,,,,,77.78246,,3.677
TON,1997,,,,,,,,,,,,,,,,,,,,,,,0.1432,1.422412937,,41.58152516,,,,,,,79233928.52,365659282.3,-0.600530108,3632.112386,-0.994478779,374177997.0,-0.51891595,3716.729215,-0.913188081,,,,,,,,,,,,,,,,,,,,,2.857
TTO,1997,71.3,90.0,50.0,,68.2,79.6,,70.0,,78.8,45.0,90.0,70.0,,,,,,,,,,14.8496,11.37171896,,45.12779595,,,,,,,,10598498260.0,7.522854626,8116.255226,7.11872871,,,,,,,,,,,,,,,,,,,,,,,88.48501,,15.01
TUN,1997,63.8,50.0,50.0,,68.8,65.7,,85.0,,80.0,35.0,70.0,70.0,,,,,,,,,,18.3721,1.95006618,,67.85672075,,,,,,,8669027865.0,24038877878.0,5.440943501,2551.553865,4.021398324,23276775384.0,6.273369613,2470.66217,4.842617532,,,,,,,,,,,,,,,,,,,94.13777,,15.94
TUR,1997,60.8,70.0,41.0,,57.3,61.8,,70.0,,29.8,77.8,70.0,70.0,,,,,,,,,,204.4402,3.252673867,,4.367165499,,,,,,,68505879943.0,390657000000.0,7.577663644,6215.40338,6.034109127,,,,,,,,,,,,,,,,,,,,,,,92.04438,,6.841
TKM,1997,,,,,,,,,,,,,,,,,,,,,,,31.5036,7.264367392,,,,,,,,,,7852866037.0,-11.40000023,1810.780481,-12.88958214,,,,,,,,,,,,,,,,,,,,,,,,,11.0
UGA,1997,66.6,70.0,30.0,,81.0,89.6,,70.0,,81.4,57.2,70.0,50.0,,,,,,,,,,1.1607,0.053106587,,49.067197,,,,,,,962356721.7,10452668512.0,5.100001865,478.250664,2.096964135,10418393136.0,5.648368587,476.6824309,2.629662295,,,,,,,,,,,,,,,,,,,,,3.247
UKR,1997,43.5,50.0,30.0,,61.1,49.1,,55.0,,0.0,66.0,50.0,30.0,,,,,,,,,,380.9966,7.501869823,,20.03499007,,,,,,,59970162277.0,67357528156.0,-2.999999998,1326.277954,-2.161110953,66728268741.0,-3.024571714,1313.887817,-2.18588534,,,,,,,,,,,,,,,,,,,,,8.93
ARE,1997,71.9,90.0,90.0,,99.9,49.1,,85.0,,76.1,77.0,30.0,50.0,,,,,,,,,,84.3016,29.92166564,,,,,,,,,,175179000000.0,8.190398649,62177.42838,-0.251832471,,,,,,,,,,,,,,,,,,,,,,,82.45285,,1.904
GBR,1997,76.4,90.0,90.0,,61.7,39.3,,85.0,,84.0,77.8,70.0,90.0,,,,,,,,,,546.492,9.371065574,,77.71407435,,,,,,,465308000000.0,2061490000000.0,4.924648319,35349.79065,4.654759103,,5.068304139,,,35.7,27.2,2.9,,0.2,0.3,0.2,0.7,,15.5,13.2,,,,,,,0.9,,,7.072
USA,1997,75.6,90.0,78.0,,64.5,60.0,,85.0,,84.5,78.4,70.0,70.0,,,,,,,,,,5699.7506,20.90447192,,73.61275761,,,,,,,1130460000000.0,12038300000000.0,4.447127942,44151.68604,3.197165614,12002400000000.0,4.332952611,44020.0751,3.960376049,40.5,29.9,2.0,,0.6,0.9,0.7,1.5,,19.2,17.7,0.0,1.1,0.0,9.75,6.03,0.81,1.2,,,5.0
URY,1997,67.5,70.0,50.0,,88.3,67.1,,70.0,,53.1,69.0,70.0,70.0,,,,,,,,,,5.6678,1.758359716,,35.44047988,,,,,,,5606815693.0,35904413225.0,8.547683201,11138.86761,7.974492892,35574408333.0,9.230816083,11036.48798,8.654018464,41.5,31.2,2.0,,0.6,3.4,2.5,11.9,,22.8,,,,,,,,2.0,92.20082,,11.44
UZB,1997,,,,,,,,,,,,,,,,,,,,,,,106.9751,4.502516103,,,,,,,,,3326858309.0,27862556342.0,5.199999997,1172.717844,3.397977063,,,,,,,,,,,,,,,,,,,,,,,,,10.9
VUT,1997,,,,,,,,,,,,,,,,,,,,,,,0.0527,0.301787821,,69.56703199,,,,,,,,487916497.6,4.906812678,2794.065589,2.675021254,,,,,,,,,,,,,,,,,,,,,,,,,8.24
VEN,1997,52.8,50.0,27.0,,75.0,47.1,,70.0,,41.7,65.0,50.0,50.0,,,,,,,,,,133.8289,5.78552319,,,,,,,,,,,6.370931401,,4.211607037,,5.98465483,,3.83317186,,,,,,,,,,,,,,,,,,,,,11.16
VNM,1997,38.6,10.0,10.0,,42.8,78.9,,40.0,,61.0,44.6,30.0,30.0,,,,,,,,,,44.61,0.600995146,,43.80741236,,,,,,,15243429921.0,79035160538.0,8.152084143,1064.778029,6.592399576,77965895351.0,7.460434223,1050.372667,5.910724089,35.4,29.0,3.3,,22.2,48.9,63.4,89.0,,40.1,7.1,2.98,3.45,67.41,12.63,14.2,2.56,9.1,,,2.87
YEM,1997,48.4,30.0,10.0,,81.4,74.8,,55.0,,39.1,45.0,70.0,30.0,,,,,,,,,,12.2878,0.687470292,,28.42843289,,,,,,,12368097135.0,35526373022.0,5.23111204,1987.607711,1.929696328,,,,,,,,,,,,,,,,,,,,,,,,,10.223
ZMB,1997,62.1,50.0,50.0,,71.6,69.5,,55.0,,48.9,74.0,70.0,70.0,,,,,,,,,,2.4985,0.270486409,,11.98163155,,,,,,,,7440753544.0,3.814007497,805.5324018,1.195241999,,,,,,,,,,,,,,,,,,,,,,,,,13.305
ZWE,1997,48.0,50.0,30.0,,64.7,67.1,,55.0,,59.7,25.0,30.0,50.0,,,,,,,,,,14.7565,1.297864954,,,,,,,,,5573770486.0,20057217726.0,2.680594179,1764.074135,0.770841532,,,,,,,,,,,,,,,,,,,,,,,,,6.93
AFG,1996,,,,,,,,,,,,,,,,,,,,,,,1.4172,0.079782626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.867
ALB,1996,53.8,50.0,10.0,,81.7,51.0,,70.0,,42.6,59.0,70.0,50.0,,,,,,,,,,2.0549,0.64863592,,45.94047306,,,,,,,326109882.2,5175146643.0,9.099999436,1633.552,9.780179879,,,,,27.0,20.7,3.9,,1.6,13.9,8.9,47.9,,19.5,7.5,2.13,1.57,2.9,6.08,7.39,2.91,4.0,,,13.928
DZA,1996,54.5,50.0,50.0,,48.8,60.7,,70.0,,57.0,54.2,50.0,50.0,,,,,,,,,,81.506,2.807352891,,61.63133217,,,,,,,35005160317.0,96475509798.0,4.09999847,3322.955381,2.081849893,92203808197.0,3.972971686,3175.822976,1.957285731,,,,,,,,,,,,,,,,,,,87.9189,,28.308
AGO,1996,24.4,30.0,10.0,,54.6,0.0,,40.0,,0.0,25.0,30.0,30.0,,,,,,,,,,15.6788,1.106402503,,0.029713097,,,,,,,,26470456890.0,13.54436976,1867.935031,9.768938152,,,,,,,,,,,,,,,,,,,,,,,,,16.275
ARG,1996,74.7,70.0,70.0,,80.2,89.4,,85.0,,77.5,60.0,70.0,70.0,,,,,,,,,,126.5706,3.563984281,,,,,,,,,35680720379.0,367644000000.0,5.526689827,10352.14,4.208050173,360756000000.0,5.292641633,10158.19007,3.976926596,49.5,36.9,1.1,,4.0,9.1,8.3,22.4,,27.3,22.5,,2.04,,7.92,16.4,5.0,4.7,,,17.11
ARM,1996,42.2,50.0,50.0,,75.8,0.0,,55.0,,0.0,69.0,30.0,50.0,,,,,,,,,,2.5941,0.791189285,,52.56353381,,,,,,,739059772.7,3264729147.0,5.865400749,995.7282753,6.796794519,3368162913.0,6.011473078,1027.275127,6.944151978,,,,,,,,,,,,,,,,,,,,,9.3
AUS,1996,74.0,90.0,70.0,,59.3,53.4,,70.0,,86.5,77.0,70.0,90.0,,,,,,,,,,312.6713,17.15639492,,69.40686785,,,,,,,121604000000.0,735134000000.0,3.863888914,40337.10605,2.610752936,653946000000.0,,35882.26524,3.132607298,,,,,,,,,,,,,,,,,,,95.40056,,8.509
AUT,1996,68.9,90.0,90.0,,45.9,0.0,,70.0,,83.6,81.0,70.0,90.0,,,,,,,,,,67.9724,8.540300894,,78.49409644,,,,,,,83030893122.0,273007000000.0,2.215767434,34301.65626,2.077849004,282173000000.0,2.564479854,35453.20383,2.089547526,29.3,22.8,3.5,,0.0,0.2,0.2,0.5,,10.5,8.5,,,,,,,0.7,,,5.282
AZE,1996,30.0,30.0,10.0,,46.3,48.8,,40.0,,0.0,55.0,10.0,30.0,,,,,,,,,,28.4018,3.658611362,,51.00833652,,,,,,,,8582673762.0,1.299999405,1105.587242,0.28021389,,1.230169594,,0.211087055,,,,,,,,,,,,,,,,,,,93.50836,,8.1
BHS,1996,74.0,90.0,70.0,,97.8,83.6,,100.0,,85.8,19.0,50.0,70.0,,,,,,,,,,1.2447,4.064087662,,76.32745444,,,,,,,2871135500.0,8876811380.0,4.223530362,28983.80301,2.587699944,10430143910.0,10.97734129,34055.61113,9.235507077,,,,,,,,,,,,,,,,,,,,,11.46
BHR,1996,76.4,60.0,70.0,,99.4,72.5,,100.0,,89.1,77.0,50.0,70.0,,,,,,,,,,15.7942,27.52600245,,83.41184421,,,,,,,,13653500639.0,4.110006115,23795.20913,1.40416058,,,,,,,,,,,,,,,,,,,,,,,99.858,,1.182
BGD,1996,51.1,30.0,10.0,,79.2,92.0,,40.0,,70.7,38.0,50.0,50.0,,,,,,,,,,22.0842,0.17686861,,43.54556676,,,,,,,3285026926.0,68933550573.0,4.522919217,552.0771071,2.629544607,,4.013489376,,,,,,,,,,,,,,,,,,,,,,,2.51
BRB,1996,62.3,50.0,30.0,,60.8,71.5,,70.0,,89.0,49.0,70.0,70.0,,,,,,,,,,0.5293,2.018041512,,60.82591277,,,,,,,,4454109219.0,3.976477177,16982.00889,3.879352546,,,,,,,,,,,,,,,,,,,,,,,,,14.71
BLR,1996,38.7,50.0,10.0,,38.0,0.0,,70.0,,0.0,60.0,50.0,70.0,,,,,,,,,,61.3563,6.039262099,,0.53556705,,,,,,,9828165022.0,19757223554.0,2.800004628,1944.691114,3.146686043,19720725761.0,2.971487085,1941.098659,3.318746805,,,,,,,,,,,,,,,,,,,,,24.4
BEL,1996,66.0,90.0,90.0,,33.9,7.3,,70.0,,85.0,77.8,70.0,70.0,,,,,,,,,,127.4091,12.544418,,76.53681906,,,,,,,178390000000.0,323618000000.0,1.321432387,31862.66944,1.123650511,343660000000.0,1.444918047,33836.0005,0.725433555,,,,,,,,,,,,,,,,,,,97.5397,,9.483
BLZ,1996,61.6,70.0,50.0,,63.3,68.7,,70.0,,85.4,27.0,70.0,50.0,,,,,,,,,,0.1067,0.507346298,,77.91483002,,,,,,,418020725.4,1025168003.0,1.106140308,4874.556622,-1.857191197,987430090.7,0.71345375,4695.117164,-2.238368459,56.5,46.5,1.0,,16.4,35.4,41.5,70.5,,34.6,18.2,,,,,,,9.6,,,13.82
BEN,1996,54.5,50.0,50.0,,72.1,90.5,,70.0,,57.9,0.0,50.0,50.0,,,,,,,,,,1.0743,0.168073196,,65.00436067,,,,,,,972220628.3,5073825258.0,4.324284031,793.7950527,1.629860214,4977433945.0,4.368623323,778.714725,1.673054338,,,,,,,,,,,,,,,,,,,59.11845,,1.246
BTN,1996,,,,,,,,,,,,,,,,,,,,,,,0.3595,0.655084696,,48.021,,,,,,,146784642.3,603584570.7,5.565172891,1099.858179,5.412245123,542330952.0,7.045075346,988.2411877,6.890003705,,,,,,,,,,,,,,,,,,,,,1.392
BOL,1996,65.2,50.0,30.0,,89.2,75.3,,55.0,,81.6,65.4,70.0,70.0,,,,,,,,,,8.383,1.045035638,,51.98174303,,,,,,,4057466391.0,15275687737.0,4.361341952,1904.287019,2.448117814,14847648121.0,4.602160678,1850.927046,2.684521685,,,,,,,,,,,,,,,,,,,,,2.373
BIH,1996,,,,,,,,,,,,,,,,,,,,,,,4.3985,1.135024718,,,,,,,,,,5803437611.0,54.19930017,1497.566248,47.84541898,,,,,,,,,,,,,,,,,,,,,,,,,21.725
BWA,1996,61.6,70.0,70.0,,63.5,46.6,,70.0,,68.1,46.2,50.0,70.0,,,,,,,,,,3.012,1.961047298,,32.4508828,,,,,,,4134821365.0,6977980666.0,5.829800014,4543.210535,3.274997255,6694466972.0,2.256566957,4358.620972,-0.211975545,,,,,,,,,,,,,,,,,,,83.61821,,21.593
BRA,1996,48.1,50.0,30.0,,66.7,74.4,,55.0,,0.0,57.0,50.0,50.0,,,,,,,,,,300.6037,1.83068839,,42.4139744,,,,,,,80617632718.0,1090420000000.0,2.20886405,6640.727007,0.672968776,1075540000000.0,2.264950568,6550.091357,0.72821248,59.8,47.3,0.7,,13.4,26.7,30.0,52.6,,35.9,26.2,1.38,1.92,8.03,13.87,13.18,2.42,8.2,,,8.035
BGR,1996,48.6,50.0,30.0,,50.6,30.6,,55.0,,30.0,71.0,70.0,50.0,,,,,,,,,,61.6603,7.373141567,,3.606643794,,,,,,,18868588684.0,35601345730.0,5.205392275,4257.095117,5.749369438,34521347460.0,4.440396618,4127.952376,4.980418279,,,,,,,,,,,,,,,,,,,93.93516,,12.5
BFA,1996,49.4,30.0,10.0,,66.7,84.3,,40.0,,59.1,55.0,70.0,30.0,,,,,,,,,,0.5113,0.047982619,,70.64540173,,,,,,,404126301.8,4091600230.0,11.01474387,383.973583,8.209981105,4102098252.0,11.7579349,384.9587631,8.93439558,,,,,,,,,,,,,,,,,,,,,2.451
MMR,1996,45.1,30.0,10.0,,81.8,81.3,,40.0,,53.3,50.0,30.0,30.0,,,,,,,,,,7.7814,0.180313411,,6.451353606,,,,,,,,9580955459.0,6.442715347,222.0133598,5.087303377,,,,,,,,,,,,,,,,,,,,,,,,,0.758
BDI,1996,,,,,,,,,,,,,,,,,,,,,,,0.2717,0.044757389,,22.10410981,,,,,,,,1932822901.0,-7.999999998,318.3956826,-8.063500471,,,,,,,,,,,,,,,,,,,,,,,,,3.076
