ISO3,Year,Heritage_Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,fraser_Score,Size_of_Government,Legal_System_and_Property,Sound_Money,Free_Trade,Regulation,Access to clean fuels and technologies for cooking (% of population),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),"Children in employment, work only (% of children in employment, ages 7-14)",Consumer price index (2010 = 100),Coverage of social insurance programs (% of population),Coverage of social insurance programs in poorest quintile (% of population),Coverage of social safety net programs (% of population),Coverage of social safety net programs in poorest quintile (% of population),Coverage of unemployment benefits and ALMP in poorest quintile (% of population),"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",Exports of goods and services (constant 2015 US$),GDP (constant 2015 US$),GDP growth (annual %),GDP per capita (constant 2015 US$),GDP per capita growth (annual %),GNI (constant 2015 US$),GNI growth (annual %),GNI per capita (constant 2015 US$),GNI per capita growth (annual %),Gini index,Income share held by highest 10%,Income share held by lowest 10%,Marine protected areas (% of territorial waters),Poverty gap at $3.65 a day (2017 PPP) (%),Poverty gap at $6.85 a day (2017 PPP) (%),Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),Poverty headcount ratio at societal poverty line (% of population),Proportion of people living below 50 percent of median income (%),Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%),Proportion of population pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of population pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),Prosperity gap (average shortfall from a prosperity standard of $25/day),"School enrollment, primary (% net)","Survey mean consumption or income per capita, total population (2017 PPP $ per day)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
BFA,2018,60.0,42.1,31.8,47.1,80.6,83.7,80.4,51.5,47,84.5,65.8,65.0,40.0,5.959898477,5.947214158,3.881754139,6.504588176,6.644444811,6.819003139,11.9,,,4.9703,0.243185731,,111.9797647,2.755251236,0.302101196,53.18480978,54.48713572,,12.67000008,3963719348.0,14194244129.0,6.604569068,694.4928131,3.767726783,13733574534.0,7.263751172,671.9532739,4.409367465,43.0,35.3,2.6,,25.2,49.8,63.1,87.2,41.4,43.2,11.3,2.35,2.11,44.95,10.03,8.37,1.76,9.8,78.64517,4.28,4.695
MMR,2018,53.9,32.5,28.2,17.6,86.3,84.7,89.2,54.2,65.9,67.6,70.9,30.0,20.0,5.408087912,7.393107076,3.375349729,5.959625034,5.395465941,4.902484785,31.9,,,33.5019,0.640911802,,154.5440819,,,,,,38.16381073,,71172235146.0,6.268862215,1361.568313,5.501797464,,,,,,,,2.327047687,,,,,,,,,,,,,,,97.93192,,0.767
BDI,2018,50.9,17.6,26.2,21.7,71.0,78.6,54.8,53.0,63.2,70.2,69.2,55.0,30.0,5.389674952,6.630426093,3.411519834,8.649951996,2.353987151,5.897887648,0.1,,,0.7209,0.060786988,,183.3716857,,,,,,,308765974.1,3150727414.0,1.609935421,265.6723943,-1.411807623,3158275823.0,1.792383789,266.3088835,-1.234785025,,,,,,,,,,,,,,,,,,,92.8047,,1.146
CPV,2018,60.0,42.1,42.8,52.0,74.0,71.5,40.2,64.6,40.5,83.5,68.2,80.0,60.0,7.589701897,7.570353404,6.297718127,9.625413045,7.609636133,6.861992981,79.0,,,0.8751,1.704469094,,109.2921071,,,,,,,975917536.2,1978536809.0,3.706964583,3853.6794,3.601523496,1935110373.0,4.670184212,3769.095903,4.563763799,,,,0.000677,,,,,,,,,,,,,,,93.42191,,12.17
KHM,2018,58.7,36.0,17.7,24.5,89.8,86.5,92.1,30.6,57.7,79.7,80.3,60.0,50.0,6.979810496,9.212729708,3.733262585,8.814308659,7.268446612,5.873966475,31.2,,,12.3359,0.757988468,,127.6337468,,,,,,,16807639436.0,30665817314.0,8.776223762,1884.283748,7.431770302,29422192595.0,8.579955177,1807.868311,7.23792756,,,,0.185767377,,,,,,,,,,,,,,,90.26554,,0.13
CMR,2018,51.9,40.6,23.4,29.4,73.7,86.1,72.0,44.0,42.9,82.5,53.4,25.0,50.0,5.729786477,7.248124896,2.772916357,7.048055069,5.455279412,6.121572314,25.3,,,10.513,0.423802213,,115.8080461,,,,,,30.32715988,6983504676.0,36242614249.0,3.955514239,1461.0197,1.115149469,35565057975.0,3.927151263,1433.705913,1.087561451,,,,3.40964064,,,,,,,,,,,,,,,,,3.601
CAN,2018,77.7,87.5,78.3,77.1,76.7,52.3,81.2,81.8,71.3,77.5,88.1,80.0,80.0,8.10985,6.585521555,8.198364725,9.38552734,8.070865104,8.304206081,100.0,,,613.6582,16.5528684,,114.5248998,,,,,,95.16181946,529069000000.0,1664830000000.0,2.742963431,44907.34368,1.280926579,1653010000000.0,2.289785158,44588.40848,1.045670247,32.5,24.4,2.9,0.871881853,0.2,0.4,0.5,0.7,,13.5,12.2,,,,,,,0.6,,,5.837
CAF,2018,49.2,17.9,24.6,28.2,64.6,94.6,96.4,27.2,34.5,70.5,57.2,45.0,30.0,4.9085641,6.169379993,2.164491472,6.295201805,5.077560744,4.824068455,0.7,,,0.2692,0.05517912,,147.8156821,,,,,,,156555682.6,1927167164.0,3.789443593,395.0200155,1.978031976,2068298382.0,6.786728593,423.9483084,4.923006099,,,,,,,,,,,,,,,,,,,,,5.517
TCD,2018,49.3,25.1,23.1,24.1,44.8,90.5,81.9,29.4,40.3,79.9,52.2,60.0,40.0,5.489130435,8.699833729,2.532282034,6.566291538,5.241307129,4.381900885,6.0,,,2.2617,0.139986734,,118.8533874,,,,,,13.26381874,3377209190.0,10195006882.0,2.3740378,631.014596,-1.00814832,10027173681.0,2.192171529,620.6266482,-1.184006178,37.5,29.7,2.9,,25.3,50.9,64.6,89.4,42.3,43.2,10.8,1.61,1.83,43.66,11.45,9.3,1.4,10.0,,3.81,1.135
CHL,2018,75.2,67.9,61.2,63.4,78.0,81.3,91.7,72.4,60.4,82.4,88.7,85.0,70.0,8.079155496,7.977447734,6.917860658,9.505248995,8.605460995,7.394138077,100.0,,,89.7848,4.752230579,,128.6239518,,,,,,81.64968109,73957337034.0,260027000000.0,3.990029475,13763.00688,2.149881952,249214000000.0,3.793279431,13190.6868,1.956613483,,,,28.81445067,,,,,,,,,,,,,,,,,7.623
